Name,Administration,Role,StartDate,EndDate,Duration,Notes
Evelyn S. Lieberman,Bill Clinton,Confirmed,1-Oct-99,19-Jan-01,476,1
Vacant,George W. Bush,Vacant,20-Jan-01,1-Oct-01,254,
Charlotte Beers,George W. Bush,Confirmed,2-Oct-01,28-Mar-03,542,2
Vacant,George W. Bush,Vacant,29-Mar-03,15-Dec-03,261,
Margaret D. Tutwiler,George W. Bush,Confirmed,16-Dec-03,30-Jun-04,197,3
Vacant,George W. Bush,Vacant,1-Jul-04,8-Sep-05,434,
Karen Hughes,George W. Bush,Confirmed,9-Sep-05,14-Dec-07,826,4
Vacant,George W. Bush,Vacant,15-Dec-07,9-Jun-08,177,
James K. Glassman,George W. Bush,Confirmed,10-Jun-08,15-Jan-09,219,5
Vacant,Bush/Obama,Vacant,16-Jan-09,25-May-09,129,
Judith McHale,Barack Obama,Confirmed,26-May-09,1-Jul-11,766,6
Vacant,Barack Obama,Vacant,1-Jul-11,5-Feb-12,219,
Kathleen Stephens,Barack Obama,Acting,6-Feb-12,4-Apr-12,58,
Tara Sonenshine,Barack Obama,Confirmed,5-Apr-12,1-Jul-13,452,7
Vacant,Barack Obama,Vacant,2-Jul-13,10-Feb-14,223,
Richard Stengel,Barack Obama,Confirmed,11-Feb-14,7-Dec-16,1030,8
Bruce Wharton,Obama/Trump,Acting,8-Dec-16,1-Jul-17,205,
Vacant,Donald Trump,Vacant,2-Jul-17,3-Dec-17,154,
Steve Goldstein,Donald Trump,Confirmed,4-Dec-17,13-Mar-18,99,9
Heather Nauert,Donald Trump,Acting,13-Mar-18,10-Oct-18,211,
Vacant,Donald Trump,Vacant,11-Oct-18,4-Feb-19,116,
Michelle Giuda,Donald Trump,Acting,5-Feb-19,3-Mar-20,392,
Ulrich Brechbuhl,Donald Trump,Acting,4-Mar-20,28-Sep-20,208,
Nilda Pedrosa,Donald Trump,Acting,29-Sep-20,20-Jan-21,113,
Jennifer Hall Godfret,Joe Biden,Acting,21-Jan-21,1-Apr-22,435,
Vacant,Joe Biden,Vacant,2-Apr-22,3-Apr-22,1,
Elizabeth M. Allen,Joe Biden,Acting,4-Apr-22,15-Jun-23,437,
Elizabeth M. Allen,Joe Biden,Confirmed,15-Jun-23,2-Aug-24,414,10
Lee Satterfield,Joe Biden,Acting,3-Aug-24,20-Jan-25,170,
Vacant,Donald Trump,Vacant,21-Jan-25,3-Feb-25,13,
Darren Beattie,Donald Trump,Acting,4-Feb-25,2-Jul-25,148,

Sarah B. Rogers,Donald Trump,Confirmed,10-Oct-25,31-Oct-25,21,11
